"Year","Lowest.Temperature..F.","Highest.Temperature..F.","Warmest.Minimum.Temperature..F.","Coldest.Minimum.Temperature..F.","Average.Minimum.Temperature..F.","Average.Maximum.Temperature..F.","Mean.Temperature..F.","Total.Precipitation..in.","Total.Snowfall..in.","Max.24hr.Precipitation..in.","Max.24hr.Snowfall..in."
2014,4,58,44,18,21.8,35.2,28.5,2.34,19.2,0.5,11
2013,11,61,43,20,29.3,40.8,35.1,2.76,1.5,0.9,1.5
2012,13,62,46,27,30.2,44.2,37.2,3.23,4.3,1.38,4.3
2011,6,53,40,24,24.6,34.7,29.7,4.93,36,1.29,12.3
2010,13,57,49,20,27,38.1,32.5,2.08,2.1,1.25,1.3
2009,6,47,38,16,22.4,33.5,27.9,2.98,9,1.19,3
2008,12,64,53,20,30.6,42.4,36.5,2.85,0,1.29,0
2007,9,72,54,22,31.4,43.6,37.5,3.63,2.6,1.52,1
2006,16,64,45,32,34.2,47.5,40.9,4.99,2,1.17,2
2005,5,66,49,18,25.2,37.4,31.3,4.67,15.3,1.03,8.5
2004,1,58,44,15,18.5,31,24.7,2.13,17.3,0.56,6
2003,7,50,38,20,22.1,32.9,27.5,2.3,4.7,1.52,1
2002,21,69,50,31,34.5,45.4,39.9,1.93,3.5,0.62,3
2001,18,54,40,27,28.5,38.8,33.6,3.16,8.3,0.83,6
2000,3,64,51,19,24.7,37.9,31.3,3.23,9.5,0.84,5.5
1999,9,60,41,22,27,40.8,33.9,7.02,4.5,2.42,2.5
1998,14,65,47,29,34.2,45.8,40,5.2,0.5,2.55,0.5
1997,4,62,44,17,25.1,39.2,32.1,3.65,4.4,1.23,3.5
1996,6,56,40,18,24,37,30.5,5.64,26.1,1.4,13.6
1995,15,64,54,27,31.9,43.1,37.5,3.75,0.2,1.41,0.2
1994,-2,55,35,10,17.9,33.2,25.5,5.62,12,1.87,4.5
1993,21,64,41,27,30.1,42.5,36.3,3.44,1.5,1.42,1.1
1992,11,62,42,23,28.9,42.5,35.7,1.68,1.5,0.5,1.3
1991,10,55,43,20,28.5,41.2,34.9,3.38,8.4,0.85,5.7
1990,24,66,46,33,35.2,47.5,41.4,5.34,0.9,1.11,0.8
1989,11,61,44,26,30.7,44,37.4,2.29,5,0.6,5
1988,5,53,41,17,23.2,35.8,29.5,3.64,13.9,0.8,5.2
1987,8,57,46,19,27.1,37.5,32.3,5.81,13.6,1.68,8.1
1986,8,63,45,22,27.4,40.8,34.1,4.23,2.2,2.19,1.4
1985,-2,58,40,9,23,34.6,28.8,1,8.4,0.3,4.1
1984,8,57,39,19,24.6,35.1,29.9,1.87,11.7,0.6,4.2
1983,12,58,43,21,29.4,39.6,34.5,NA,1.9,NA,1
1982,0,58,37,15,19.6,32.5,26.1,6.46,11.8,2.73,5.8
1981,2,49,40,14,20.2,32.3,26.2,0.58,8,0.41,4.1
1980,17,60,40,27,28,39.4,33.7,1.72,2,0.81,2
1979,8,63,50,20,26.9,40.2,33.5,10.52,6.6,3.45,3.1
